kernel_name,size_hints,chosen_us,config,n_spills
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",18.521,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",20.0,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",18.241,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",18.32,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",18.241,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",19.52,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 512, 'r0_': 512}",19.040000000000003,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",18.521,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",18.401,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",18.56,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",18.360999999999997,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",18.441,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",18.44,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",18.321,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",18.761,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",18.52,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",19.759999999999998,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",18.841,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",18.759999999999998,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",18.761,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",18.32,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},24.041,XBLOCK=2048 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},25.2,XBLOCK=1024 num_warps=8,0
