kernel_name,size_hints,chosen_us,config,n_spills
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",6.401,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",6.64,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",6.760000000000001,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",6.720000000000001,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",6.04,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",7.36,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 512, 'r0_': 512}",7.041,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",6.6,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",6.680000000000001,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",6.36,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",6.6,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",6.6,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",6.601,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",6.601,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",6.64,R0_BLOCK=dyn num_warps=4,0
